"Country","Year","Region","Pupil-Teacher Ratio Secondary","PISA Math Mean Performance","PISA Reading Mean Performance","PISA Science Mean Performance","Pupil-Teacher Ratio % Change","PISA Math % Change","PISA Reading % Change","PISA Science % Change"
"Albania","2000","Southern Europe",16.43434,381,348.849512401475,376.45321381022,100,100,100,100
"Albania","2009","Southern Europe",14.7321,377.46105645178,384.81660237996,390.695745527028,89.6421760776521,99.071143425664,110.310202164506,103.783347091835
"Albania","2012","Southern Europe",14.89293,394.329333356314,393.964251939227,397.373213559178,90.6207976712177,103.498512691946,112.932435888238,105.557131399469
"Albania","2015","Southern Europe",13.50589,413.157,405.2588,427.225,82.1809089990836,108.440157480315,116.170092143803,113.4868781371
"Austria","2003","Western Europe",10.52508,505.61098329,490.69324044,490.98460351,100,100,100,100
"Austria","2006","Western Europe",10.94344,505.483598459863,490.193977266589,510.837154134711,103.974886651693,99.9748057628598,99.8982535049875,104.043416124006
"Austria","2009","Western Europe",10.28249,495.908654967801,470.283631981007,494.327673185653,97.6951244076054,98.0810685204925,95.840658322358,100.680890938688
"Austria","2012","Western Europe",9.53847,505.540743249801,489.609335384385,505.781247067636,90.6261045046688,99.9861078887682,99.7791074002481,103.013667526814
"Austria","2015","Western Europe",9.57663,496.7423,484.8656,495.0375,90.988667069514,98.245947263192,98.8123658612508,100.825463051392
"Brazil","2003","Latin America and the Caribbean",16.73021,356.01579097,402.79628397,389.61963651,100,100,100,100
"Brazil","2009","Latin America and the Caribbean",17.13865,385.814111985143,411.754927512485,405.403988763084,102.441332176942,108.369943629173,102.224112758486,104.051220927793
"Brazil","2012","Latin America and the Caribbean",15.97387,391.459888954175,410.121847655763,404.710529258465,95.4791960172646,109.955765694438,101.818677077544,103.873237212488
"Brazil","2015","Latin America and the Caribbean",16.45139,377.0695,407.3486,400.6821,98.3334339497233,105.91370089867,101.130178259127,102.839298242022
"Bulgaria","2000","Eastern Europe",11.85532,430,430.403432839449,448.284711450556,100,100,100,100
"Bulgaria","2006","Eastern Europe",11.74476,413.449171269888,401.934980167519,434.079770925349,99.0674228953752,96.1509700627647,93.3856353133342,96.8312681288544
"Bulgaria","2009","Eastern Europe",11.98892,428.066142786167,429.081086959532,439.294148733668,101.126920234966,99.5502657642249,99.6927659542134,97.9944525237552
"Bulgaria","2012","Eastern Europe",12.32203,438.738259877416,436.125725278661,446.468709376193,103.93671364417,102.032153459864,101.329518308314,99.5948998420029
"Chile","2000","Latin America and the Caribbean",29.3532,384,409.556782025629,414.853077132673,100,100,100,100
"Chile","2006","Latin America and the Caribbean",24.41269,411.35033889843,442.091345938587,438.17744477339,83.1687516182222,107.122484088133,107.943846944017,105.622320027593
"Chile","2009","Latin America and the Caribbean",22.40762,421.060472961245,449.369606817505,447.467359932405,76.3379120504749,109.651164833658,109.720953611112,107.861646591885
"Chile","2012","Latin America and the Caribbean",20.04352,422.632355405519,441.398163345356,444.933919694947,68.2839349713149,110.060509220187,107.774595054254,107.250962863813
"Chile","2015","Latin America and the Caribbean",19.44185,422.6714,458.5709,446.9561,66.2341754902361,110.070677083333,111.967600129084,107.738407797096
"China","2009","Eastern Asia",15.71505,600.076252920147,555.828113350873,574.617354693275,100,100,100,100
"China","2012","Eastern Asia",14.50326,612.675536305453,569.588407749006,580.117830848225,92.2889841266811,102.099613728088,102.475638433468,100.957241564325
"China","2015","Eastern Asia",13.81544,531.2961,493.9412,517.7793,87.9121606358236,88.5380978524908,88.8658180713853,90.1085384510159
"Colombia","2006","Latin America and the Caribbean",27.36572,369.978512943413,385.308038214618,388.038271909179,100,100,100,100
"Colombia","2009","Latin America and the Caribbean",26.65632,380.848214875471,413.181499141822,401.750115298746,97.4077056989548,102.937927893591,107.234072005443,103.533631701353
"Colombia","2012","Latin America and the Caribbean",25.39509,376.488601072821,403.402534102204,398.678631615801,92.7989104617017,101.759585462847,104.696111706216,102.742090272248
"Colombia","2015","Latin America and the Caribbean",26.47999,389.6438,424.9052,415.7288,96.7633594146253,105.315251120974,110.276754663324,107.136030153567
"Costa Rica","2009","Latin America and the Caribbean",15.81656,409.385369127282,442.58094355888,430.481279216419,100,100,100,100
"Costa Rica","2015","Latin America and the Caribbean",13.9521,400.2534,427.4875,419.608,88.2119752967775,97.7693464847683,96.5896761307636,97.4741574741157
"Croatia","2006","Southern Europe",9.54029,467.246714232255,477.364237965249,493.204391790777,100,100,100,100
"Croatia","2009","Southern Europe",8.32827,459.938917902581,475.74888637867,486.363448789666,87.2957740278335,98.4359876469797,99.6616102635873,98.6129598367378
"Croatia","2012","Southern Europe",7.80615,471.131460759248,484.565032125693,491.35658283423,81.8229844166163,100.831412272931,101.508448599153,99.6253462079204
"Croatia","2015","Southern Europe",7.03333,464.0401,486.8632,475.3912,73.7223920866137,99.3137213950185,101.989877179581,96.3882738906483
"Estonia","2009","Northern Europe",9.44342,512.10419773905,500.961865512048,527.831756247383,100,100,100,100
"Estonia","2012","Northern Europe",8.37591,520.545521676786,516.294184313067,541.404756164087,88.6957267600086,101.648360621726,103.060576035133,102.57146330361
"Finland","2000","Northern Europe",12.74229,536,546.469144622958,537.741256910606,100,100,100,100
"Finland","2003","Northern Europe",12.22628,544.28918697,543.46254327,548.22500161,95.9504139365844,101.546490106343,99.4498131536718,101.949589056942
"Finland","2006","Northern Europe",9.8669,548.358395099193,546.868281359491,563.32283387828,77.4342759425503,102.305670727461,100.073039208244,104.75722787473
"Finland","2009","Northern Europe",9.88786,540.504348071396,535.877984494657,554.079510006501,77.5987675684669,100.840363446156,98.0618923808391,103.03831124838
"Finland","2012","Northern Europe",9.26577,518.750335282979,524.021669693511,545.441939987881,72.7166780853363,96.781778970705,95.8922703778756,101.43204245133
"France","2000","Western Europe",11.79826,517,504.742388238491,500.486317527093,100,100,100,100
"France","2003","Western Europe",11.46728,510.79947353,496.18878489,511.22545748,97.1946710786167,98.8006718626692,98.3053526813267,102.145740967699
"France","2006","Western Europe",12.09852,495.538332644515,487.706247187242,495.219838638056,102.544951543702,95.8488070879139,96.6247849500606,98.947727699119
"France","2009","Western Europe",12.49659,496.782310397535,495.616541310945,498.22689391511,105.918923637892,96.0894217403356,98.1919792868211,99.5485543694487
"France","2012","Western Europe",12.83299,494.98467432064,505.481483378022,498.970894151481,108.770191536718,95.7417165030251,100.14643017047,99.6972098292118
"Georgia","2009","Western Asia",7.56748,379.490958938783,374.259872595934,372.652949131624,100,100,100,100
"Georgia","2015","Western Asia",7.24706,403.8332,401.2881,411.1315,95.765829576028,106.414445585025,107.221780741973,110.325572616033
"Germany","2000","Western Europe",14.36311,490,483.990823766235,487.105835740655,100,100,100,100
"Germany","2003","Western Europe",14.18665,502.98553214,491.35799852,502.33647629,98.7714359912303,102.6501086,101.522172403277,103.126762077524
"Germany","2006","Western Europe",13.78121,503.790858681686,494.944417879441,515.64913003029,95.9486490042895,102.814460955446,102.263182187623,105.859772598748
"Germany","2009","Western Europe",13.23832,512.777642599843,497.305058150888,520.405349483897,92.1688965690578,104.648498489764,102.75092702813,106.836196838539
"Germany","2012","Western Europe",12.74469,513.525055819929,507.676529765533,524.120799257005,88.7321060689502,104.801031799985,104.893833691925,107.598957105506
"Germany","2015","Western Europe",12.13371,505.9713,509.1041,509.1406,84.478291957661,103.259448979592,105.188791811866,104.523609171268
"Greece","2000","Southern Europe",9.76026,447,473.798851486914,460.553865898689,100,100,100,100
"Greece","2003","Southern Europe",8.60019,444.9118627,472.2668764,481.02226503,88.1143535110745,99.5328551901566,99.6766612915784,104.444300796688
"Greece","2006","Southern Europe",8.18975,459.201986745002,459.711184455055,473.377963907888,83.9091376664146,102.729750949665,97.0266565679406,102.784494704908
"Greece","2015","Southern Europe",8.66634,453.6299,467.0395,454.8288,88.7921018497458,101.483199105145,98.5733710696636,98.7569171984872
"Hungary","2000","Eastern Europe",9.84324,488,479.966777817182,496.076322265475,100,100,100,100
"Hungary","2003","Eastern Europe",10.96142,490.01239238,481.86969443,503.27886546,111.35987743873,100.412375487705,100.396468401724,101.451902231824
"Hungary","2006","Eastern Europe",9.85824,490.937383376753,482.374517349591,503.931728715803,100.152388847575,100.601922823105,100.501647123028,101.583507637384
"Hungary","2009","Eastern Europe",10.32898,490.170027552574,494.178753343222,502.642748728251,104.934757254725,100.444677777167,102.961033176228,101.323672622146
"Hungary","2012","Eastern Europe",10.03962,477.044455015488,488.461333958455,494.302351221682,101.995074792446,97.7550112736656,101.769821690556,99.6423995735794
"Hungary","2015","Eastern Europe",10.2914,476.8309,469.5233,476.7475,104.552972395268,97.71125,97.8241248561666,96.1036595785898
"Indonesia","2000","South-eastern Asia",14.57182,367,370.614663986579,393.329929581784,100,100,100,100
"Indonesia","2003","South-eastern Asia",14.23421,360.15883202,381.59036213,395.04239001,97.683130864916,98.1359215313351,102.961485124566,100.435375062873
"Indonesia","2006","South-eastern Asia",12.26633,391.006808155728,392.932829930045,393.481018158954,84.1784348145942,106.541364620089,106.021932781449,100.038412682536
"Indonesia","2009","South-eastern Asia",12.59356,371.300931028396,401.705195705234,382.569451693209,86.4240705690847,101.171915811552,108.388910299507,97.2642616085645
"Indonesia","2012","South-eastern Asia",16.61711,375.114451681748,396.120094523136,381.911484865957,114.035926878043,102.211022256607,106.881926975637,97.0969804591357
"Italy","2000","Southern Europe",10.45422,457,487.469645338731,477.603320130052,100,100,100,100
"Italy","2003","Southern Europe",10.57577,465.66421009,475.66158083,486.45421372,101.162688368907,101.895888422319,97.5776820933074,101.853189292641
"Italy","2006","Southern Europe",10.617,461.6887207488,468.523108602033,475.39722060224,101.557074559365,101.025978282013,96.1132889159626,99.5380895745843
"Italy","2015","Southern Europe",11.29297,489.7287,484.758,480.5468,108.023075848796,107.161641137856,99.443730422056,100.616302221087
"Latvia","2000","Northern Europe",10.73766,463,458.071081873092,460.060834794716,100,100,100,100
"Latvia","2003","Northern Europe",11.14677,483.37494854,490.56253369,489.12491714,103.810047999285,104.400636833693,107.09310259972,106.317443291658
"Latvia","2006","Northern Europe",10.25442,486.166083936096,479.491835425478,489.543777480505,95.4995781203726,105.003473852289,104.676294662565,106.408487846818
"Latvia","2009","Northern Europe",8.60649,481.953822620897,483.960145534221,493.878923880063,80.1523795687329,104.093698190259,105.651756831116,107.350786358599
"Latvia","2012","Northern Europe",7.89986,490.571021411359,488.694413789431,502.18619208774,73.57152303202,105.954864235715,106.685279452944,109.15647542826
"Latvia","2015","Northern Europe",8.03226,482.3051,487.7581,490.225,74.8045663580333,104.169568034557,106.480875851301,106.556560116391
"Liechtenstein","2006","Western Europe",9.0625,524.967426229619,510.43778210317,522.161034032279,100,100,100,100
"Liechtenstein","2009","Western Europe",9.26844,536.048468409449,499.322052712795,519.914167497944,102.27244137931,102.110805666442,97.8223145346776,99.5696985435731
"Lithuania","2006","Northern Europe",9.70397,486.421335278023,470.070755501443,487.956698407748,100,100,100,100
"Lithuania","2009","Northern Europe",8.94914,476.602303092852,468.442734308496,491.409790863656,92.2214310225609,97.9813730457446,99.6536646507162,100.707663706057
"Lithuania","2012","Northern Europe",8.31545,478.823277433358,477.306611549969,495.700086396902,85.6912170998056,98.4379678082331,101.539312106495,101.586900643934
"Lithuania","2015","Northern Europe",7.88976,478.3834,472.4066,475.4089,81.3044558052014,98.3475364473006,100.496913384043,97.4285016583044
"Luxembourg","2000","Western Europe",10.88618,446,441,443.070572853148,100,100,100,100
"Luxembourg","2003","Western Europe",10.58737,493.20855665,479.42258356,482.76399701,97.2551436775802,110.584878172646,108.712603981859,108.95871371038
"Luxembourg","2006","Western Europe",10.09245,490.001840614221,479.366541238475,486.324362604493,92.7088289923554,109.865883545789,108.699895972443,109.762279962041
"Luxembourg","2012","Western Europe",7.88117,489.845098037208,487.80704283399,491.215175670468,72.3961022139998,109.830739470226,110.613841912469,110.86612512027
"Luxembourg","2015","Western Europe",9.44748,485.7706,481.4391,482.8064,86.7841612025522,108.917174887892,109.169863945578,108.968283966812
"Malaysia","2009","South-eastern Asia",13.65341,404.258132521407,413.812044399986,422.231640353482,100,100,100,100
"Malaysia","2012","South-eastern Asia",13.92335,420.512967619053,398.196059787664,419.502648533661,101.97708850756,104.02090490951,96.226309788792,99.3536742491547
"Mexico","2000","Latin America and the Caribbean",16.92285,387,421.960630180386,421.537342366325,100,100,100,100
"Mexico","2003","Latin America and the Caribbean",17.14063,385.21833947,399.72192747,404.89616731,101.286899074329,99.5396226020672,94.7296735477717,96.0522655091697
"Mexico","2006","Latin America and the Caribbean",17.83042,405.654640128628,410.496454635583,409.651951838013,105.362985549124,104.820320446674,97.2831172567208,97.1804655640725
"Mexico","2009","Latin America and the Caribbean",17.63968,418.509094759118,425.265299156182,415.908672232987,104.235870435535,108.141884950676,100.783169978295,98.6647279926041
"Mexico","2012","Latin America and the Caribbean",17.74098,413.281466667708,423.55376178166,414.920147715347,104.834469371294,106.791076658322,100.377554560148,98.4302233785904
"Mexico","2015","Latin America and the Caribbean",16.08213,408.0235,423.2765,415.7099,95.032042475115,105.432428940568,100.311846586031,98.6175738705349
"Moldova","2009","Eastern Europe",11.25259,397.49208590048,388.077770183434,412.771010026674,100,100,100,100
"Moldova","2015","Eastern Europe",9.34236,419.6635,416.2293,427.9978,83.0240860104207,105.577825291614,107.254094921041,103.688919425892
"Netherlands","2003","Western Europe",13.08537,537.823276,513.11897043,524.36870636,100,100,100,100
"Netherlands","2006","Western Europe",13.30748,530.654046305865,506.74697063491,524.861505727814,101.697391820025,98.6669915539068,98.7581827680722,100.093979553287
"Netherlands","2009","Western Europe",13.39986,525.835688380923,508.403722944549,522.218128201078,102.40337109306,97.7710917035363,99.0810615554713,99.589872901865
"Netherlands","2012","Western Europe",13.85693,522.971758192681,511.229965245418,522.055821725803,105.896356006746,97.2385877536251,99.6318582446876,99.5589201632088
"Netherlands","2015","Western Europe",14.46276,512.2528,502.9591,508.5748,110.526183057873,95.245561666617,98.0199776240029,96.9880150801454
"New Zealand","2000","Australia and New Zealand",15.54971,537,528.799732117044,527.686667150696,100,100,100,100
"New Zealand","2003","Australia and New Zealand",14.1861,523.48658471,521.55151001,520.9042747,91.2306403141924,97.4835353277467,98.629306774036,98.7146932312468
"New Zealand","2006","Australia and New Zealand",14.70968,521.988848810814,521.032644667055,530.384360780158,94.5977770646527,97.2046273390715,98.5311854416239,100.511230204854
"New Zealand","2009","Australia and New Zealand",14.30599,519.300872489045,520.880008686591,532.006901380284,92.0016514777446,96.7040730892076,98.5023208316036,100.818712030932
"New Zealand","2012","Australia and New Zealand",14.36042,499.749902827586,512.186793323336,515.636318700572,92.351690160138,93.0632966159378,96.8583685307104,97.7163818606236
"New Zealand","2015","Australia and New Zealand",13.81545,495.2233,509.2707,513.3035,88.8469945741753,92.2203538175047,96.3069133868772,97.2742977895652
"North Macedonia","2000","Southern Europe",16.04576,381,373,400.715457619291,100,100,100,100
"North Macedonia","2015","Southern Europe",9.42686,371.3114,351.7415,383.6824,58.7498504277766,97.4570603674541,94.3006702412869,95.7493385155424
"Peru","2000","Latin America and the Caribbean",20.35754,292,327.084842940491,333.340958888972,100,100,100,100
"Peru","2009","Latin America and the Caribbean",16.53146,365.107272239707,369.695760262673,369.351771359662,81.2055877085345,125.036737068393,113.027481475176,110.802996604652
"Peru","2012","Latin America and the Caribbean",16.75243,368.102547127356,384.151223462193,373.113448374386,82.2910331994927,126.062516139505,117.446965750132,111.93147389327
"Peru","2015","Latin America and the Caribbean",14.09055,386.5606,397.5414,396.6836,69.2153865349153,132.383767123288,121.540758790932,119.002357622702
"Poland","2003","Eastern Europe",14.11461,490.23877608,496.6052659,497.780127,100,100,100,100
"Poland","2006","Eastern Europe",11.46444,495.428497326879,507.639526884825,497.806502146554,81.2239232964992,101.058610925961,102.221937974183,100.005298553543
"Poland","2009","Eastern Europe",10.68059,494.802918517109,500.478482555257,508.0682976879,75.6704577738953,100.931003963743,100.779938700053,102.066810250121
"Poland","2012","Eastern Europe",8.66085,517.501096817955,518.186880548638,525.816445438169,61.3608877609796,105.5610290471,104.345828796142,105.632269533767
"Poland","2015","Eastern Europe",9.3184,504.4693,505.6971,501.4353,66.0195357859693,102.902774038763,101.830796957725,100.734294681877
"Portugal","2000","Southern Europe",9.79384,454,470.154622065874,458.995785394299,100,100,100,100
"Portugal","2003","Southern Europe",8.77611,466.0166947,477.56864555,467.73512135,89.6084681799989,102.646849052863,101.57693302079,101.904012244512
"Portugal","2006","Southern Europe",7.06038,466.160985842381,472.304304814666,474.305889180987,72.0900075966118,102.678631242815,100.457228887668,103.335565221702
"Portugal","2009","Southern Europe",7.27779,486.888306098136,489.334923939821,492.949967418761,74.3098723279122,107.244120285933,104.07957318162,107.397493202534
"Portugal","2012","Southern Europe",8.16457,487.063181343903,487.757687222583,489.274731981519,83.3643392173039,107.282639062534,103.744101265954,106.596780961988
"Portugal","2015","Southern Europe",9.9287,491.627,498.1289,501.1001,101.376987984284,108.287885462555,105.950016573528,109.173137520104
"Qatar","2006","Western Asia",9.48177,317.955651981689,312.213455582445,349.313145242857,100,100,100,100
"Qatar","2009","Western Asia",9.6178,368.11248736586,371.716030582832,379.446948617259,101.434647750367,115.774789682638,119.058299357849,108.626587285586
