"Country","Year","Pupil-Teacher Ratio Secondary","Region"
"Albania","1997",14.77331,"Southern Europe"
"Albania","2000",16.43434,"Southern Europe"
"Albania","2001",16.96302,"Southern Europe"
"Albania","2003",17.66389,"Southern Europe"
"Albania","2008",16.79416,"Southern Europe"
"Albania","2009",14.7321,"Southern Europe"
"Albania","2010",14.77747,"Southern Europe"
"Albania","2011",15.24414,"Southern Europe"
"Albania","2012",14.89293,"Southern Europe"
"Albania","2013",14.75715,"Southern Europe"
"Albania","2014",14.29575,"Southern Europe"
"Albania","2015",13.50589,"Southern Europe"
"Albania","2016",12.22137,"Southern Europe"
"Albania","2017",11.60265,"Southern Europe"
"Albania","2018",11.19927,"Southern Europe"
"Austria","1971",19.57274,"Western Europe"
"Austria","1981",13.6875,"Western Europe"
"Austria","1982",12.89659,"Western Europe"
"Austria","1983",12.52444,"Western Europe"
"Austria","1984",11.80202,"Western Europe"
"Austria","1985",11.74935,"Western Europe"
"Austria","1986",11.44632,"Western Europe"
"Austria","1987",10.88133,"Western Europe"
"Austria","1988",10.53639,"Western Europe"
"Austria","1989",10.14936,"Western Europe"
"Austria","1990",9.96332,"Western Europe"
"Austria","1991",9.7814,"Western Europe"
"Austria","1992",9.68867,"Western Europe"
"Austria","1993",9.486,"Western Europe"
"Austria","1994",9.40802,"Western Europe"
"Austria","1995",9.40288,"Western Europe"
"Austria","1996",9.87243,"Western Europe"
"Austria","1997",9.94267,"Western Europe"
"Austria","1998",10.15429,"Western Europe"
"Austria","1999",10.30091,"Western Europe"
"Austria","2002",10.43735,"Western Europe"
"Austria","2003",10.52508,"Western Europe"
"Austria","2004",10.70672,"Western Europe"
"Austria","2005",10.98323,"Western Europe"
"Austria","2006",10.94344,"Western Europe"
"Austria","2007",10.84635,"Western Europe"
"Austria","2008",10.57966,"Western Europe"
"Austria","2009",10.28249,"Western Europe"
"Austria","2010",9.9725,"Western Europe"
"Austria","2011",9.67872,"Western Europe"
"Austria","2012",9.53847,"Western Europe"
"Austria","2013",9.67333,"Western Europe"
"Austria","2014",9.61071,"Western Europe"
"Austria","2015",9.57663,"Western Europe"
"Austria","2016",9.41777,"Western Europe"
"Austria","2017",9.32983,"Western Europe"
"Brazil","1970",13.24274,"Latin America and the Caribbean"
"Brazil","2002",19.12073,"Latin America and the Caribbean"
"Brazil","2003",16.73021,"Latin America and the Caribbean"
"Brazil","2004",16.01712,"Latin America and the Caribbean"
"Brazil","2005",15.42777,"Latin America and the Caribbean"
"Brazil","2007",18.55159,"Latin America and the Caribbean"
"Brazil","2008",17.19542,"Latin America and the Caribbean"
"Brazil","2009",17.13865,"Latin America and the Caribbean"
"Brazil","2010",16.66361,"Latin America and the Caribbean"
"Brazil","2011",16.34985,"Latin America and the Caribbean"
"Brazil","2012",15.97387,"Latin America and the Caribbean"
"Brazil","2013",17.26308,"Latin America and the Caribbean"
"Brazil","2014",16.69174,"Latin America and the Caribbean"
"Brazil","2015",16.45139,"Latin America and the Caribbean"
"Brazil","2016",16.60114,"Latin America and the Caribbean"
"Brazil","2017",16.72391,"Latin America and the Caribbean"
"Bulgaria","1996",11.33101,"Eastern Europe"
"Bulgaria","1997",10.93134,"Eastern Europe"
"Bulgaria","1998",11.2169,"Eastern Europe"
"Bulgaria","1999",12.50347,"Eastern Europe"
"Bulgaria","2000",11.85532,"Eastern Europe"
"Bulgaria","2001",12.16587,"Eastern Europe"
"Bulgaria","2002",12.07715,"Eastern Europe"
"Bulgaria","2003",12.30837,"Eastern Europe"
"Bulgaria","2004",12.23208,"Eastern Europe"
"Bulgaria","2005",11.97562,"Eastern Europe"
"Bulgaria","2006",11.74476,"Eastern Europe"
"Bulgaria","2007",11.55461,"Eastern Europe"
"Bulgaria","2008",11.47623,"Eastern Europe"
"Bulgaria","2009",11.98892,"Eastern Europe"
"Bulgaria","2010",12.08112,"Eastern Europe"
"Bulgaria","2011",12.29774,"Eastern Europe"
"Bulgaria","2012",12.32203,"Eastern Europe"
"Bulgaria","2013",13.04041,"Eastern Europe"
"Bulgaria","2014",13.2295,"Eastern Europe"
"Bulgaria","2016",12.63651,"Eastern Europe"
"Chile","1999",29.00898,"Latin America and the Caribbean"
"Chile","2000",29.3532,"Latin America and the Caribbean"
"Chile","2002",32.55556,"Latin America and the Caribbean"
"Chile","2004",25.19256,"Latin America and the Caribbean"
"Chile","2005",24.76865,"Latin America and the Caribbean"
"Chile","2006",24.41269,"Latin America and the Caribbean"
"Chile","2007",23.71092,"Latin America and the Caribbean"
"Chile","2008",23.32647,"Latin America and the Caribbean"
"Chile","2009",22.40762,"Latin America and the Caribbean"
"Chile","2010",21.86571,"Latin America and the Caribbean"
"Chile","2011",21.0574,"Latin America and the Caribbean"
"Chile","2012",20.04352,"Latin America and the Caribbean"
"Chile","2013",21.00122,"Latin America and the Caribbean"
"Chile","2014",20.06238,"Latin America and the Caribbean"
"Chile","2015",19.44185,"Latin America and the Caribbean"
"Chile","2016",18.81748,"Latin America and the Caribbean"
"Chile","2017",18.36688,"Latin America and the Caribbean"
"China","1970",20.59747,"Eastern Asia"
"China","1971",21.83943,"Eastern Asia"
"China","1972",23.00333,"Eastern Asia"
"China","1973",21.2371,"Eastern Asia"
"China","1974",19.93684,"Eastern Asia"
"China","1975",20.09417,"Eastern Asia"
"China","1976",20.95925,"Eastern Asia"
"China","1977",21.02231,"Eastern Asia"
"China","1978",20.9199,"Eastern Asia"
"China","1979",20.22543,"Eastern Asia"
"China","1980",18.88137,"Eastern Asia"
"China","1981",17.90215,"Eastern Asia"
"China","1982",16.66647,"Eastern Asia"
"China","1983",16.38346,"Eastern Asia"
"China","1984",16.41878,"Eastern Asia"
"China","1985",17.07836,"Eastern Asia"
"China","1986",16.9997,"Eastern Asia"
"China","1987",16.89917,"Eastern Asia"
"China","1988",16.35938,"Eastern Asia"
"China","1989",15.31392,"Eastern Asia"
"China","1990",14.60696,"Eastern Asia"
"China","1991",14.42533,"Eastern Asia"
"China","1992",14.52494,"Eastern Asia"
